track_name,artist_name,album_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,release_year
God's Plan,Drake,Scorpion,6DCZcSspjsKoFjzjrWoCdn,0.754,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,audio_features,6DCZcSspjsKoFjzjrWoCdn,spotify:track:6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/tracks/6DCZcSspjsKoFjzjrWoCdn,https://api.spotify.com/v1/audio-analysis/6DCZcSspjsKoFjzjrWoCdn,198973,4,85,2018
Passionfruit,Drake,More Life,5mCPDVBb16L4XQwDdbRUpz,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,audio_features,5mCPDVBb16L4XQwDdbRUpz,spotify:track:5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/tracks/5mCPDVBb16L4XQwDdbRUpz,https://api.spotify.com/v1/audio-analysis/5mCPDVBb16L4XQwDdbRUpz,298941,4,85,2017
Fair Trade (with Travis Scott),Drake,Certified Lover Boy,40iJIUlhi6renaREYGeIDS,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,audio_features,40iJIUlhi6renaREYGeIDS,spotify:track:40iJIUlhi6renaREYGeIDS,https://api.spotify.com/v1/tracks/40iJIUlhi6renaREYGeIDS,https://api.spotify.com/v1/audio-analysis/40iJIUlhi6renaREYGeIDS,291175,4,83,2021
MELTDOWN (feat. Drake),Drake,UTOPIA,67nepsnrcZkowTxMWigSbb,0.557,0.774,7,-5.275,0,0.351,0.012,0.0,0.396,0.397,111.975,audio_features,67nepsnrcZkowTxMWigSbb,spotify:track:67nepsnrcZkowTxMWigSbb,https://api.spotify.com/v1/tracks/67nepsnrcZkowTxMWigSbb,https://api.spotify.com/v1/audio-analysis/67nepsnrcZkowTxMWigSbb,246134,4,83,2023
Rakata,Wisin & Yandel,Pa'l Mundo,1kQqiC1rS1FiuVpeBKN0QN,0.872,0.786,1,-5.473,1,0.142,0.0348,0.0,0.0776,0.722,96.002,audio_features,1kQqiC1rS1FiuVpeBKN0QN,spotify:track:1kQqiC1rS1FiuVpeBKN0QN,https://api.spotify.com/v1/tracks/1kQqiC1rS1FiuVpeBKN0QN,https://api.spotify.com/v1/audio-analysis/1kQqiC1rS1FiuVpeBKN0QN,172680,4,75,2005
El Telefono,Wisin & Yandel,The Bad Boy,614NVFo5csQqRnryl4jXs2,0.808,0.682,2,-7.128,1,0.0963,0.171,1.42e-06,0.464,0.491,89.987,audio_features,614NVFo5csQqRnryl4jXs2,spotify:track:614NVFo5csQqRnryl4jXs2,https://api.spotify.com/v1/tracks/614NVFo5csQqRnryl4jXs2,https://api.spotify.com/v1/audio-analysis/614NVFo5csQqRnryl4jXs2,235627,4,73,2006
Besos Moja2,Wisin & Yandel,La Última Misión,6OzUIp8KjuwxJnCWkXp1uL,0.736,0.727,5,-4.642,0,0.0571,0.0584,1.91e-06,0.0976,0.644,94.048,audio_features,6OzUIp8KjuwxJnCWkXp1uL,spotify:track:6OzUIp8KjuwxJnCWkXp1uL,https://api.spotify.com/v1/tracks/6OzUIp8KjuwxJnCWkXp1uL,https://api.spotify.com/v1/audio-analysis/6OzUIp8KjuwxJnCWkXp1uL,229065,4,76,2022
Noche De Sexo,Wisin & Yandel,Pa'l Mundo,4kAtRwNRLMKuoCbxMSxUGI,0.686,0.722,2,-5.4,1,0.256,0.108,0.0,0.494,0.515,94.006,audio_features,4kAtRwNRLMKuoCbxMSxUGI,spotify:track:4kAtRwNRLMKuoCbxMSxUGI,https://api.spotify.com/v1/tracks/4kAtRwNRLMKuoCbxMSxUGI,https://api.spotify.com/v1/audio-analysis/4kAtRwNRLMKuoCbxMSxUGI,205707,4,75,2005
Noche De Entierro,Wisin & Yandel,Mas Flow - Los Benjamins,6ksWMnPcHNyNoNf3y1BQCO,0.868,0.764,4,-6.574,0,0.167,0.119,0.00143,0.0918,0.397,96.994,audio_features,6ksWMnPcHNyNoNf3y1BQCO,spotify:track:6ksWMnPcHNyNoNf3y1BQCO,https://api.spotify.com/v1/tracks/6ksWMnPcHNyNoNf3y1BQCO,https://api.spotify.com/v1/audio-analysis/6ksWMnPcHNyNoNf3y1BQCO,263293,4,75,2006
Sexy Movimiento,Wisin & Yandel,"Wisin Vs Yandel ""Los Extraterrestres""",1Kgyx7NLtzsa3gWV1efGHu,0.815,0.757,10,-6.16,0,0.039,0.382,3.28e-06,0.147,0.734,104.986,audio_features,1Kgyx7NLtzsa3gWV1efGHu,spotify:track:1Kgyx7NLtzsa3gWV1efGHu,https://api.spotify.com/v1/tracks/1Kgyx7NLtzsa3gWV1efGHu,https://api.spotify.com/v1/audio-analysis/1Kgyx7NLtzsa3gWV1efGHu,209680,4,74,2007
